question_text,image_source,delay_seconds
We are now going to start the technical interview.,https://itglueguy.github.io/100daysofcode/vig/interview_room.jpg,10
What is the port for SMB?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is the port for HTTP and HTTPS?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What does RDP stand for?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
if someone had a problem with a printer; what should you try?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
if someone had a problem their internet on a program; what should you try?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What are things that should be tried when troubleshooting file shares?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is an MDM System?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is Microsoft Intune used for?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
Detail the components and process to build a desktop computer?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,120
How many ip Addresses are in a /23 subnet?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,20
What is the purpose of a Vlan?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is the purpose Active Directory?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What controls the startup sequences on a windows pc?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,15
What is the difference between a hub / switch / router?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is the difference between a MDF/IDF?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is the SLA and why is it important in IT?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is BYOD and why is it recommended and not recommended?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,120
What is SNMP used for?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,60
