question_text,image_source,delay_seconds
We are now going to start the behavioral interview.,30
Please tell me more about yourself.,60
Why do you want to work here?,60
Why did you leave your last job or no longer with the commpany?,60
Where do you see yourself in 5 years?,60
What do you want to see in your next role?,60
What is your leadership style?,60
Tell me how you prioritize your time with all urgent priorities,60
Tell me about a time you took initiative at work,60
Are you okay with working in the office 5 days a week?,60
Are you okay with talking with end users?,60
Tell me how you deal with difficult people who don't agree with you,60
Wooh - that was great. Do you have any questions for us?,120
