question_text,image_source,delay_seconds
We are now going to start the technical process interview.,https://itglueguy.github.io/100daysofcode/vig/interview_room.jpg,10
What is ITIL and what is it used for?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is SOX mean?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is change control used for?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is a DR plan and please give an example?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is a Backup plan and please give an example?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is a BCP plan and please give an example?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is ITIL and what is it used for?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is intent of an onboarding/offboarding process?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
What is the purpose of asset management and keeping an inventory?,https://itglueguy.github.io/100daysofcode/vig/calm_interviewer.png,30
