question,timeLimit
What is a route table?,10
What is the difference between a load balancer and a proxy?,30
What is a SFP? GBIC?,https://itglueguy.github.io/100daysofcode/vig/interview_room.jpg,30
What is a difference between Star topology and a ring network?,30
What is the difference between traditional firewalls and next generation firewall appliances?,30
What is a CDN and what is it used for?,30
What is the purpose of QOS?,30
What is the purpose of NAT in a a network?,30
What is the BGP protocol do?,60
What is the EIGRP protocol do?,60
What is the OSPF protocol do?,60
What is the spanning tree protocol do?,60
What is LACP?,60
