question_text,image_source,delay_seconds
We are now going to start the interview.,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/interview_room.jpg,10
Please tell me more about yourself.,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
Why do you want to work here?.,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/happy_interviewer.png,60
Why did you leave your last job or no longer with the commpany?,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
Where do you see yourself in 5 years?,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/happy_interviewer.png,60
What do you want to see in your next role?,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
Tell me how you prioritize your time with all urgent priorities,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
Tell me about a time you took initiative at work,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
Tell me how you deal with difficult people who don't agree with you,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
Wooh - that was great. Do you have any questions for us?,https://itglueguy.github.io/100daysofcode/PSInterviewGriller/calm_interviewer.png,60
