question_text,image_source,delay_seconds
We are now going to start the interview.,https://itglueguy.github.io/100daysofcode/vig/interview_room.jpg,30
Are you okay with being oncall 24/7?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
What skills did you not learn at work?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
Were you ever fired from a job?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
Are you willing to wear multiple hats here?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
We are hiring you for this role - but are you willing to do cleaning around the office?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
Tell us why you are not a good candidate for this role?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
How will you be able to resolve problems with a limited budget?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
What is your favorite color and why?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,60
how would you advocate for Work from Home to the CEO?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,120
You are now being transitioned from an Individual contributor to manager - What is your management style?,https://itglueguy.github.io/100daysofcode/vig/tricky_interviewer.png,120
