question_text,image_source,delay_seconds
We are now going to start the interview.,C:\scripts\vig\pictures\interview_room.jpg,10
Please tell me more about yourself.,C:\scripts\vig\pictures\calm_interviewer.png,60
Why do you want to work here?.,C:\scripts\vig\pictures\happy_interviewer.png,60
Why did you leave your last job or no longer with the commpany?,C:\scripts\vig\pictures\calm_interviewer.png,60
Where do you see yourself in 5 years?,C:\scripts\vig\pictures\happy_interviewer.png,60
What do you want to see in your next role?,C:\scripts\vig\pictures\calm_interviewer.png,60
Tell me how you prioritize your time with all urgent priorities,C:\scripts\vig\pictures\calm_interviewer.png,60
Tell me about a time you took initiative at work,C:\scripts\vig\pictures\calm_interviewer.png,60
Tell me how you deal with difficult people who don't agree with you,C:\scripts\vig\pictures\calm_interviewer.png,60
Wooh - that was great. Do you have any questions for us?,C:\scripts\vig\pictures\calm_interviewer.png,60
