question,timeLimit
We are now going to start the technical process interview.,30
What is ITIL and what is it used for?,60
What is SOX mean?,60
What is change control used for?,60
What is a DR plan and please give an example?,60
What is a Backup plan and please give an example?,60
What is a BCP plan and please give an example?,60
What is intent of an onboarding/offboarding process?,60
What is the purpose of asset management and keeping an inventory?,60
What are your thoughts on innovation and continuous improvment?,60
