question,timeLimit
We are now going to start the interview.,30
Are you okay with being oncall 24/7?,60
What skills did you not learn at work?,60
Were you ever been fired from a job?,60
Are you willing to wear multiple hats here?,60
We are hiring you for this role - but are you willing to do cleaning around the office?,60
Tell us why you are not a good candidate for this role?,60
How will you be able to resolve problems with a limited budget?,60
What is your favorite color and why?,60
how would you advocate for Work from Home to the CEO?,120
You are now being transitioned from an Individual contributor to manager - What is your management style?,120
